UAI,Lat -WGS84,Lon – WGS84,,
0761123H,49,54629429,0,191582587
0761124J,49,59519341,0,130369433
0761131S,49,50706002,0,178362802
0761132T,49,50706002,0,178362802
0761133U,49,50706002,0,178362802
0761136X,49,51078788,0,188125525
0761142D,49,59787475,0,175696577
0761143E,49,58555457,0,211917644
0761150M,49,53084173,0,234884471
0761151N,49,5454283,0,186150208
0761152P,49,50497057,0,201036509
0761153R,49,86235437,0,708847329
0761156U,49,85435114,0,793065369
0761158W,49,8415805,0,752689037
0761161Z,49,82667134,0,712605933
0761163B,49,82273227,0,664604851
0761165D,49,79694326,0,758712188
0761167F,49,87333814,0,799188536
0761170J,49,35701469,1,12034305
0761173M,49,34619004,1,19892896
0761177S,49,4002538,1,5815378
0761180V,49,40865387,1,57184011
0761183Y,49,40987206,1,58522889
0761186B,49,3590102,0,972911411
0761187C,49,34246487,0,96507889
0761188D,49,38368634,1,2719375
0761194K,49,43077054,1,6239559
0761201T,49,35836599,0,943612383
0761202U,49,39117601,0,932080767
0761203V,49,37829672,1,1993763
0761204W,49,40903757,1,58459264
0761205X,49,41666502,1,35199866
0761206Y,49,4308659,1,5527897
0761207Z,49,42149368,1,63680442
0761208A,49,41356514,1,67876936
0761210C,49,50332002,0,23301912
0761211D,49,50689975,0,23233479
0761224T,49,50691698,0,232459529
0761226V,49,51544887,0,82105093
0761227W,49,49991444,0,201610057
0761228X,49,5103959,0,136196848
0761229Y,49,49714982,0,113157911
0761230Z,49,5089419,0,167012171
0761232B,49,51829131,0,97412149
0761233C,49,5207958,0,78423849
0761234D,49,51899766,0,96977176
0761235E,49,50986266,0,147526719
0761236F,49,50050996,0,139944275
0761237G,49,49217022,0,141306991
0761239J,49,50139631,0,179064469
0761240K,49,4988771,0,138396104
0761242M,49,52075994,0,102298301
0761243N,49,51140395,0,158586924
0761244P,49,50718725,0,161127713
0761245R,49,4982946,0,143286147
0761246S,49,49573006,0,123608338
0761247T,49,49695641,0,107687102
0761249V,49,48774518,0,104031911
0761250W,49,49648513,0,101926835
0761251X,49,48602836,0,13410146
0761252Y,49,51780589,0,123114409
0761253Z,49,47966639,0,164100369
0761254A,49,49190499,0,102727603
0761255B,49,50227817,0,15734179
0761257D,49,48930339,0,114759519
0761258E,49,49934263,0,128497308
0761259F,49,51409998,0,170077228
0761260G,49,49628437,0,157311465
0761261H,49,50601579,0,105928871
0761262J,49,51116751,0,11031536
0761263K,49,51498226,0,112193456
0761264L,49,50819341,0,91702638
0761265M,49,49700987,0,120808334
0761266N,49,4880334,0,14466937
0761267P,49,48414487,1,723718747
0761270T,49,46973318,1,672366024
0761271U,49,44152841,1,62298112
0761272V,49,45088141,1,654618853
0761273W,49,5056843,1,609770645
0761274X,49,51403682,1,697131095
0761275Y,49,53233159,1,659410868
0761277A,49,48815052,1,642666228
0761281E,49,56633902,1,659867704
0761282F,49,43874354,1,666592507
0761285J,49,75238623,0,383400414
0761287L,49,75845158,0,380513159
0761288M,49,75692015,0,369516959
0761290P,49,74521728,0,369186541
0761291R,49,75205516,0,370570552
0761292S,49,75188817,0,370414026
0761296W,49,75258226,0,393509429
0761297X,49,61330447,1,541601864
0761299Z,49,50979455,0,17696142
0761300A,49,52099556,0,12704966
0761306G,49,92778676,1,102450177
0761307H,49,39044354,1,27924061
0761309K,49,5313308,0,354312539
0761310L,49,46138849,1,127985513
0761311M,49,42554819,1,126086562
0761312N,49,47551465,1,53018572
0761316T,49,51643872,0,174303539
